"intitule","lieuTravail.libelle","lieuTravail.codePostal","romeCode","typeContrat","salaire.libelle","dureeTravailLibelleConverti","experienceLibelle","formations.niveauLibelle","description"
"Responsable de l'École de Formation du SIAAP H/F","92 - COLOMBES","92700","K2111","CDI","N/A","N/A","Débutant accepté","N/A","Le SIAAP, le Service Public de l'Assainissement Francilien, transporte et dépollue les eaux usées, pluviales et industrielles de 9M d'usagers franciliens grâce à ses 5 usines, ses 440 km de réseaux et ses  agents. Unique en Europe, le SIAAP agit au quotidien pour améliorer la qualité du traitement de l'eau dans un respect accru de l'environnement. Le SIAAP est doté d'une école de formation interne à Colombes (92), la Cité de l'eau et de l'Assainissement, dotée d'équipements de très bon niveau permettant toutes les mises en situation réelle, et fort d'une équipe de 13 Collaborateurs. Le SIAAP recherche le nouveau Responsable de la Cité de l'Eau et de l'Assainissement.Sous l'autorité du Directeur des Ressources humaines, le responsable de la Cité de l'Eau construit et met en oeuvre l'offre de formations, de l'identification des besoins à court et moyen terme avec les services opérationnels (usines) et supports, jusqu'à l'évaluation de la qualité des formations et leur cohérence avec les plans de formation avec les responsables ressources humaines des usines. Il mène donc un travail de dialogue permanent avec les directeurs d'usines et leurs équipes opérationnelles et RH. A la tête d'une équipe de 13 Collaborateurs, il supervise l'offre d'ingénierie pédagogique destinée à développer, proposer des formations et des parcours, l'ingénierie de formation qui décline ces plans de formation. Ouvrant et faisant rayonner la Cité de l'Eau et de l'Assainissement sur l'ensemble des sites du SIAAP, il travaille à la décentralisation de formations, au plus près des équipes opérationnelles et du terrain. Garant du bon fonctionnement du centre de formation (établissement Recevant du Public) il veille à son ouverture sur l'extérieur (location d'espaces, partenariats universités et écoles.) tout en s'assurant de la bonne planification des évènements. Il assure la relation avec les organismes de formation (consultation, rédaction des cahiers des charges de sélection de prestataires), gère administrativement, budgétairement et administrativement l'école de formation.Titulaire (cat. A), à défaut contractuel."
"Consultant - Modélisation Financière H/F","France","N/A","M1201","CDI","N/A","N/A","Débutant accepté","N/A","Notre client, société leader dans le conseil et l'ingénierie financière et fiscale en matière d'infrastructures et de services publics, emploie à ce jour une trentaine de personnes. Vous aurez l'occasion de développer une expertise unique, de rencontrer des interlocuteurs privés et publiques de haut niveau décisionnel, de participer à la concrétisation d'importants projets publics, et de consolider une expérience riche et unique en termes de dynamisme et connaissance des différentes filières associées aux projets publics.Vous aurez pour missions principales : Conception et du développement de modèles financiers pour la structuration financière de projets publics, Valorisation des parts des sociétés en greenfield et brownfield, Préparation de la documentation financière des projets, Négociation des termes et conditions de financement avec les établissements de crédit, Analyse des principes comptables et fiscaux applicables aux opérations de financement de projet, Réalisation de diagnostics financiers, d'analyses financières diverses et conseil en financement, Conception et mise en place de méthodes et de solutions relevant de la modélisation financière, ainsi que la définition des interfaces dynamiques et compréhensibles sur des modèles MS Excel, pour des utilisateurs internes et externes, Suivi des indicateurs et variables financières associées à notre activité : Marché de taux d'intérêt et des instruments de couverture de taux (swaps, caps, floors, etc.), d'obligations, des indicateurs de liquidité, des conditions de financement des entités publiques et privés, de l'actualité économique et financière en général, etc. Elaboration de propositions commerciales à destination de clients publics ou privés, en France et à l'étranger, Gestion d'une équipe d'Analystes/Consultants Juniors. Selon profil. Poste basé à Paris ou Lyon."
"Responsable Projet (H/F)","32 - BLANQUEFORT","32270","H1102","CDI","Annuel de 45000,00 Euros à 50000,00 Euros","N/A","Expérience exigée de 3 An(s)","N/A","Sous la responsabilité du Directeur de Site, vous êtes rattaché au Service Opérations, constitué de 8 personnes. Missions : Assurer la gestion technique et organisationnelle des projets, de la commande jusqu'à la mise en service. Les projets se déroulent dans un environnement international très diversifié et multiculturel. Ils sont menés à bien en partenariat avec des structures très élaborées : sociétés d'ingénierie et grands groupes pharmaceutiques. Principales actions : - Gérer et analyser le contrat, avec la partie technique associée - Gérer et piloter le budget et les coûts - Planifier les étapes de la réalisation du projet et gérer son avancement - Gérer la communication avec le client - Coordonner et transmettre les informations aux équipes internes - Piloter l'installation sur site client  Formation : Ingénieur de préférence ou Bac+3 minimum. Expérience confirmée en gestion de projets ; idéalement dans le domaine des process de l'industrie pharmaceutique. Qualités requises pour le poste : esprit d'équipe, adaptabilité, capacité relationnelle, communication externe et interne, organisé, rigoureux et autonome. Bon niveau d'anglais requis.   Faire partie de notre équipe c'est aussi - Une mutuelle de très bon niveau est prise en charge à 80% par l'entreprise et couvrant toute votre famille. - Une rémunération sur 13 mois - Un accès à l'offre 1% logement, ce qui vous permet d'accéder à des aides à l'achat ou la location d'un logement. - Possibilité de déjeuner à midi au restaurant des Lac avec une prise en charge de 4€ par l'entreprise quel que soit le montant du plateau. - En cas de déplacements, vos notes de frais vous sont remboursées aux frais réels - Possibilité de prendre en charge une partie de votre abonnement sportif à hauteur de 50€ maximum par an.   Nos conditions de travail - Statut du poste : Cadre - Temps de travail : Temps plein - Horaires flexibles Le poste est basé à Blanquefort (33) et est à pourvoir immédiatement sous forme d'un CDI. Rémunération attractive selon votre expérience composée d'un salaire fixe et d'une part variable, soit un salaire annuel brut compris entre 45 000 € et 50 000 €. Merci d'adresser votre candidature à notre service RH."
"Ingénieur de formation H/F","51 - REIMS","51100","K2101","CDD","N/A","Temps plein","Débutant accepté","N/A","RESPONSABILITÉS :   Le projet DeMETeRE (Déploiement de Micro-Environnement Territoriaux pour la Réussite Etudiante), a pour enjeu d'amener la formation au plus près de l'apprenant, quels que soient ses lieux de vie, d'étude ou d'activité professionnelle, ses compétences et son projet professionnel. Ce projet nécessite de faire évoluer les dispositifs de formation initiale et continue afin de permettre le déploiement des services URCA au sein des territoires.  Mission 1¿: Participer à la mise en œuvre de la démarche compétences à l'URCA  - Organiser les réunions avec les équipes pédagogiques  - Réaliser des entretiens avec les enseignants pour traduire les enseignements en compétences  - Analyser le marché de l'emploi, les besoins en compétences des entreprises  - Analyser les emplois et situations de travail en entreprise  - Rédiger un référentiel de compétences  - Rédiger des synthèses ou des comptes rendus des rencontres et dégager des pistes de travail  - Faire des préconisations en matière d'ingénierie de formation  - Participer aux différents évènements relatifs à ce dossier  - Rendre compte de ses activités  - Travailler en étroite collaboration avec les autres membres de l'équipe Mission 2¿: Prendre part au déroulement du projet    - Tenir à jour la documentation nécessaire au suivi du projet et à sa traçabilité   - Organiser les réunions de travail nécessaires à l'avancement des travaux   - Accompagner la cheffe de projet dans d'autres missions¿: représentation, évènements, documents de suivi du projet, documents de présentation...  - Participer aux réunions d'équipe et/ou techniques  PROFIL RECHERCHÉ :   Connaissances¿ :  - Avoir une bonne connaissance du métier et de la pratique d'ingénierie de formation  - Avoir une bonne connaissance de l'enseignement supérieur et des politiques publiques dans le domaine¿¿   - Avoir une connaissance des démarches et de la règlementation liées aux compétences et blocs de compétences  - Connaitre l'offre de formation de l'URCA  - Connaissance générale des principes de Méthode Agile¿¿   - Expérience du mode projet¿¿¿  ¿  Savoir-faire :  - Conduire des projets complexes¿¿   - Planifier le travail et coordonner les activités¿¿   - Avoir des compétences en ingénierie de formation¿¿   - Savoir élaborer des choix et planifier des actions¿¿   - Animer un groupe et des chantiers¿¿   - Posséder une très bonne expression écrite et orale¿¿¿   - Maitriser les outils numériques classiques¿¿   - Savoir animer, communiquer efficacement oralement et par les outils numériques, rendre compte de ses réalisations et travailler en équipe pluridisciplinaire ¿  Savoir-être :  - Autonomie, confiance en soi¿, écoute, disponibilité et diplomatie  - Sens de l'organisation, méthodologie, rigueur¿¿   - Aisance relationnelle, esprit d'équipe¿¿   - Avoir le sens des responsabilités¿¿   - Prise d'initiative et capacité de conviction¿¿  Contraintes particulières de travail :  - Déplacements réguliers sur le site de l'URCA ou à l'extérieur  - Multiplicité des interlocuteurs Modalités de recrutement : Poste de catégorie A CDD à pourvoir dès que possible jusqu'au 28/02/2026 Date limite pour postuler : 19 janvier 2025"
"Data Engineer - Services Financiers - Nantes (H/F)","44 - NANTES","44000","M1201","CDI","N/A","N/A","Débutant accepté","N/A","En tant qu&#039;organisateur de forums de recrutement, Talents Handicap accompagne de très nombreuses entreprises &amp; organisations en France dans leurs recrutements de collaborateurs en situation de handicap. Participant actuellement à l&#039;un de nos forums. L'entreprise Sopra Steria recherche actuellement des profils :  Description de l'entrepriseSopra Steria, acteur majeur de la Tech en Europe avec  collaborateurs dans près de 30 pays, est reconnu pour ses activités de conseil, de services numériques et d'édition de logiciels. Il aide ses clients à mener leur transformation digitale et à obtenir des bénéfices concrets et durables. Le Groupe apporte une réponse globale aux enjeux de compétitivité des grandes entreprises et organisations, combinant une connaissance approfondie des secteurs d'activité et des technologies innovantes à une approche résolument collaborative.Sopra Steria place l'humain au centre de son action et s'engage auprès de ses clients à tirer le meilleur parti du digital pour construire un avenir positif. En , le Groupe a réalisé un chiffre d'affaires de 5,8 milliards d'euros.The world is how we shape itDescription du posteVotre futur environnement de travail :La division « Services Financiers » s'est développée autour des métiers de la banque de détail, de la banque privée et des services financiers spécialisés. Nous participons à la révolution digitale grâce à notre expertise en automatisation des processus, Big Data, IA, Cloud. Nous accompagnons la transformation de nos clients en y associant nos compétences dans les domaines fonctionnels des Crédits, des Risques/Conformité et des Moyens de Paiement.Si vous êtes passionné(e) par la valorisation de la donnée, rejoignez notre Data Factory localisée à Nantes et les quelques 100 Data Ingénieurs qui la composent. Vous y rencontrerez des experts de la mise en œuvre de Plateforme de Données, des Data Architectes ou autres experts solution autour des problématiques de valorisation de la donnée.Vous êtes accompagné(e) au développement de vos connaissances à travers différents parcours Data que ce soit pour l'ingestion, la construction de datahub, la transformation et valorisation de la donnée, la modélisation et mise à disposition. Rejoindre la Data Factory Sopra Steria, c'est rejoindre une communauté de Data Ingénieurs fiers de partager leur savoir et ouverts aux nouvelles expériences et expérimentations de la donnée.Votre rôle et vos missions :Dans le cadre de la mise en place de plateforme Data pour nos clients et selon votre expérience et votre appétence, vous participezp>La compréhension des besoins métiers et la traduction solution de data ingénierie et ou data analysis ;La mise en œuvre de solutions d'ingestion des données quelles soit en batch et/ou en streaming dans un contexte Cloud ;La structuration du DataLake, la mise en place des processus de gouvernance et de sécurisation des données ;Le traitement de la donnée jusqu'à l'exposition au métier ;La mise en place de la chaine CI/CD et de sa supervision ;La veille technologique avec nos partenaires éditeurs et la mise en place de Prototype Design, Proof of Concept ou encore MVP dans un objectif d'idéation pour nos clients.Environnement technique : Spark, Hadoop, Hive, Kafka, Elastic, Cloudera, Azure HD Insight, Informatica, Talend, Stambia, DataStage, SAS, DataIku, DataBricks, Qlik, SAP BI (BO), Power BI, Java, Scala, Python, RQualificationsVotre profil :Vous accordez une importance particulière au développement de vos compétences sur plusieurs technologies. Vous souhaitez une évolution réelle de carrière à travers l'expérience projet. Vous êtes soucieux(se) de l'apport de valeur pour vos clients. Et vous voulez transmettre votre savoir auprès de collaborateurs moins expérimentés. Alors, n'attendez-plus, ce poste est fait pour vous !Diplômé(e) d'une école d'Ingénieurs ou formation équivalente, vous avez déjà participé à un projet Data (Big Data, BI) et vous avez une expérience de minimum 2 ans.#LI-HYBRID  #NANTESInformations supplémentairesUn accord télétravail pour télétravailler jusqu'à 2 jours par semaine selon vos missions. Un package avantages intéressant : une mutuelle, un CSE, des titres restaurants, un accord d'intéressement, des primes vacances et cooptation.Un accompagnement individualisé avec un mentor.Des opportunités de carrières multiples : plus de 30 familles de métiers, autant de passerelles à imaginer ensemble.Plusieurs centaines de formations accessibles en toute autonomie depuis l'app mobile avec Sopra Steria Academy.La possibilité de s'engager auprès de notre fondation ou de notre partenaire « Vendredi ».L'opportunité de rejoindre le collectif Tech'Me UP (formations, conférences, veille, et bien plus encoreli>Employeur inclusif et engagé, notre société œuvre chaque jour pour lutter contre toute forme de discrimination et favoriser un en"
"Ingénieur de Formation - SUP FC (F/H) (H/F)","25 - BESANCON","25000","K2101","CDD","Annuel de 28500,00 Euros à 30000,00 Euros","Temps plein","Débutant accepté","N/A","RESPONSABILITÉS :   Vos missions : Accompagner et former :  - Sensibiliser les équipes pédagogiques à l'APC, les former aux outils associés (KAPC+, portfolios, etc.) et les accompagner dans la scénarisation et la mise en œuvre des cours et projets pédagogiques. Concevoir et développer :  - Élaborer des MOOCs sur l'APC destinés aux enseignants et aux étudiants, accessibles au grand public sur la plateforme CHLOE ( https://chloe.univ-fcomte.fr/ ). Vous travaillerez en collaboration avec l'équipe du pôle APC. Collaborer et innover :  - Participer à des groupes de travail nationaux (AVENIR, FIED) et contribuer à des réflexions sur les compétences en formation continue et en alternance. Piloter et suivre :  - Réaliser des analyses de besoins, rédiger des cahiers des charges techniques et suivre les projets pédagogiques à l'aide d'indicateurs qualitatifs et quantitatifs. Conditions de travail :  - Possibilité de choisir entre plusieurs formules horaires hebdomadaires (36h52 à 38h04) et de travailler sur 4,5 ou 5 jours par semaine, selon votre préférence.  - Horaires obligatoires de 9h à 11h et de 14h à 16h, avec flexibilité en dehors de ces plages fixes.  - Poste en présence sur site pendant les six premiers mois, avec possibilité de télétravail (jusqu'à deux jours par semaine) à partir du septième mois.  - 1 mois d'intégration progressive prévu, comprenant des échanges avec l'équipe et des ressources bibliographiques pour une prise de poste dans les meilleures conditions.  - CDD de 12 mois (renouvelable)  PROFIL RECHERCHÉ :   Votre profil : Compétences et connaissances :  - Formation exigée : Master 2 MEEF Ingénierie pédagogique / Ingénierie de formation ou équivalent.  - Maîtrise de l'approche par compétences et des outils associés (portfolios, plateformes pédagogiques (LMS) comme Moodle, etc.).  - Expérience en ingénierie de formation (alignement pédagogique), scénarisation pédagogique et gestion de projets pédagogiques. Compétences opérationnelles :  - Connaissances solides en droit de la propriété intellectuelle et veille technologique.  - Maîtrise des outils numériques et pédagogiques (KAPC+, Moodle, Wooclap, Limesurvey).  - Capacité à travailler en équipe, à prendre des initiatives et à proposer des idées novatrices. Qualités requises :  - Sens de l'organisation, rigueur et pédagogie.  - Capacité à vulgariser des concepts complexes et à accompagner les enseignants dans des changements pédagogiques.  - Une maîtrise de l'anglais est un plus mais non obligatoire."
"Ingénieur.e pédagogique (H/F)","38 - GRENOBLE","38000","K2101","CDD","Annuel de 30025,00 Euros à 32000,00 Euros","Temps plein","Débutant accepté","N/A","RESPONSABILITÉS :   Intégré.e à l'équipe Unite! au sein de la Direction des Relations Internationales, en lien avec les 8 écoles de Grenoble INP-UGA ainsi qu'avec ses partenaires stratégiques du réseau Unite! vous aurez comme missions principales : La mise en place pédagogique et technique de formations courtes (i.e. écoles thématiques et autres projets) en anglais pour répondre aux besoins des acteurs et publics de l'établissement dans le but de favoriser l'évolution des pratiques pédagogiques en lien avec des enseignants-chercheurs sur des thématiques pouvant intéresser un public étudiant international et contribuer ainsi à l'internationalisation (rayonnement international) de Grenoble INP-UGA. Le développement pédagogique et technique d'offres de formations internationalisées en lien avec les partenaires de l'Université européenne Unite !  - Mise en place pédagogique et technique de formations courtes    - Développement pédagogique et technique d'offres de formations internationalisées  - Accompagnement des enseignants dans la conception de dispositifs pédagogiques numériques et dans la production de ressources pédagogiques numériques en anglais et français  - Contribution au développement de l'internationalisation des formations et montage des programmes, tels que des BIP, COILs, écoles d'été  - Renforcement de l'attractivité des offres de programmes courts existants et développement de nouveaux  - Conseil sur les aspects liés aux ressources : juridiques, normes et standards, adaptation à l'usage.   - Contribution à l'administration fonctionnelle de plateformes pédagogiques et de dispositifs d'apprentissage en ligne (LMS, e-learning, MOOC)  - Conseil et formation à l'usage de ces dispositifs pour les utilisateurs  - Contribution aux actions de communication sur les dispositifs, valorisation des projets réalisés  - Conception de dispositifs de pédagogie numérique innovante (en particulier : classes inversées, MOOC)  - Participation à la réalisation de produits multimédias/audiovisuels et/ou de dispositifs d'apprentissage e-learning -    Intégration de ressources pédagogiques dans les plateformes  Participation potentielle au montage et la réalisation de projets financés (Erasmus et autres projets européens, Région, ANR, PIA, etc.)  PROFIL RECHERCHÉ :    - Connaître l'environnement de l'enseignement supérieur français, européen et international  - Connaître la pédagogie et les sciences de l'éducation  - Maîtriser les méthodes et outils de conception et de réalisation de produits en Ingénierie pédagogique multimédia  - Savoir intégrer des ressources dans des plateformes pédagogiques (Moodle, Chamilo, etc.)  - Maîtriser les méthodes et outils de communication sur le WEB, dont les réseaux sociaux et l'animation de communautés  - Maîtriser les techniques de communication et d'animation de réunion ou de formation en français et en anglais  - Gérer les priorités et hiérarchiser les urgences (contraintes calendaires, plusieurs projets en même temps)  - Travailler en mode projet (coordination de réseaux, gestion des échéances, travail en transversalité, etc)  - Langue anglaise : Niveau C1 min. requis  - Savoir travailler en équipe  - Être autonome dans l'organisation du travail  - Être force de proposition  - Qualités graphiques et rédactionnelles  - Avoir une bonne capacité relationnelle et d'écoute  - Savoir travailler dans un environnement multiculturel Conditions de rémunération : Fourchette salariale fournie à titre indicatif, de 2502 euros brut mensuel prime incluse à 3093 euros."
"Ingénieur pédagogique CISAM+ F/H (H/F)","13 - MARSEILLE 01","13001","K2101","CDD","Annuel de 25744,00 Euros à 30176,00 Euros","Temps plein","Débutant accepté","N/A","RESPONSABILITÉS :   Dans le cadre de l'appel à projets « Excellences » du PIA 4, le projet CISAM+ porté par Aix-Marseille Université (AMU), via la Cité de l'Innovation et des Savoirs d'Aix-Marseille (CISAM) et la Fondation A*MIDEX, a été retenu https://cisam-innovation.com/2021/12/13/le-projet-cisam-laureat-de-laap-excellences-du-pia4/ Concrètement, le projet CISAM+ s'articule autour de 3 programmes : -Formation à l'innovation -Soutien à l'innovation -Open innovation Dans le cadre du projet France 2030 CISAM+ et de la prochaine offre de formation d'AMU 2024/2028, l'ingénieur pédagogique aura pour mission d'hybrider les contenus de cours de formations existantes ou à venir. En priorité, il sera demandé à l'ingénieur de digitaliser les contenus de cours du Diplôme Universitaire Innovations Sociétales et Technologiques. En collaboration avec les enseignants-chercheurs et l'équipe CISAM+ chargée de la formation, il réalisera la scénarisation, la numérisation et l'hybridation des ressources pédagogiques qui constitueront l'offre de formation CISAM+ sur les innovations sociétales et technologiques.   Activités principales :  - Mettre en œuvre la chaîne de production-médiatisation des contenus dans le respect des chartes ergonomique, graphique et qualité  - Assurer la mise en place et la gestion des infrastructures, outils et services d'appui à la pédagogie numérique  - Administrer des systèmes de gestion de contenu, tout média confondu  - Analyser les besoins, concevoir et mettre en œuvre des actions de sensibilisation, de conseil et de formation à destination des enseignants de l'établissement  - Assurer la formation des enseignants dans les usages du numérique pédagogique et en particulier de la formation ouverte et à distance  - Assurer l'interface avec les équipes pédagogiques dans la conception de dispositifs de formation  - Assurer une veille technico-pédagogique  - Respecter et faire respecter des législations en vigueur concernant le droit d'auteur et le droit à l'image pour tous les éléments visuels, sonores et textuels inclus dans la production  - Élaborer les cahiers des charges fonctionnels pour la réalisation de dispositifs et de ressources  - Communiquer, produire et mettre à disposition des ressources documentaires ou pédagogiques à destination des enseignants Positionnement hiérarchique : Sous l'autorité fonctionnelle du Directeur de la CISAM en sa qualité de Responsable Scientifique et Technique du projet CISAM+ et de la Responsable administrative. Sous l'autorité hiérarchique de la Chargée de Formation CISAM+.  PROFIL RECHERCHÉ :   Diplômé(e) au minimum d'un Bac+3 en ingénierie pédagogique. Vous connaissez les techniques de médiatisation de contenus pédagogiques et normes associées. Vous savez communiquer, produire et mettre à disposition des ressources documentaires (outils et logiciels spécifiques) ou pédagogiques à destination des enseignants. Vous aimez la conduite de projet, l'accompagnement et le conseil. Vous avez de grandes capacités rédactionnelles et relationnelles. Vous faites preuve d'initiatives et de réactivité. Vous avez un niveau d'anglais B1 à B2. Un processus de recrutement fluide et transparent : À réception de votre candidature, deux étapes : un échange téléphonique personnalisé avec les candidats sélectionnés, et un entretien avec les responsables de notre structure. En cas de réussite, nous mettrons tout en œuvre pour confirmer votre recrutement rapidement. À votre arrivée, vous bénéficiez d'un parcours d'accueil et d'intégration, ainsi que de formations adaptées à vos besoins pour favoriser votre développement professionnel. Rejoindre AMU, c'est bénéficier d'un environnement de travail socialement engagé : - Une flexibilité du travail  : la possibilité de télétravailler jusqu'à 2 jours par semaine après seulement 6 mois d'ancienneté selon le service concerné - Un équilibre des temps de vie : bénéficiez jusqu'à 50 jours de congés dès la première année, puis 58 jours après un an -  Une prime mensuelle et annuelle dès 12 mois d'ancienneté pour les agents non titulaires et application du RIFSEEP pour les titulaires - Un accompagnement personnalisé pour les personnels en situation de handicap - La prise en charge des transports en commun à hauteur de 75% compatible avec un forfait mobilité durable - La possibilité d'une place de parking ou d'un forfait mobilité durable pour l'utilisation de cycles sur les trajets domicile-travail - Un accès à des prestations dans différents domaines : loisir, sport, culture et social"
"Ingénieur DevOps et forge logicielle F/H H/F","31 - TOULOUSE","31000","M1804","CDI","N/A","N/A","Expérience exigée de 6 An(s)","N/A","Expert public de la météo et du climat, Météo-France est à vos côtés pour contribuer à votre sécurité au quotidien et vous aider à prendre les meilleures décisions, dans un climat qui change. Face à des épisodes météo dangereux encore plus intenses et plus fréquents sous l'effet du changement climatique, nos missions au service de votre sécurité sont cruciales. Nous mobilisons notre expertise, notre excellence scientifique et technologique pour vous permettre d'anticiper les phénomènes météorologiques et climatiques à enjeux, et de vous y adapter. Retrouvez-nous en ligne : https:meteofrance.com/carte-didentite-de-meteo-france Rejoindre Météo France, c'est intégrer une organisation multi-sites, situés en hexagone, en Outre-mer L'organisation de Météo-France s'appuie sur des directions centrales et des directions interrégionales. Ci-dessous, la présentation de la direction que vous pourriez rejoindre : Vous intégrez la Direction des Systèmes d'Informations (DSI) de Météo-France, soit environ 250 personnes, dont l'activité couvre notamment les domaines suivants : - développement d'applications métier dont ont besoin nos prévisionnistes et nos clients pour mieux anticiper et gérer les risques météorologiques et climatiques, - architecture logicielle, - opérations, - gestion des infrastructures.   Vous avez une sensibilité aux enjeux de la météorologie et du climat ? Vous voulez donner du sens à votre travail ? Et si vous mettiez vos compétences au service des projets les plus importants et innovants de Météo-France ? En tant qu'ingénieur DevOps et forge logicielle, vous devenez un acteur clé de la mise en place et de l'administration de la forge logicielle mise à disposition des équipes de développement et des opérations. A ce titre, vous : - assurez le suivi de la forge logicielle en place, composée d'un ensemble d'outils d'intégration continue, tests et déploiement, centrés autour de Gitlab-CI/CD : administration et supervision, - contribuez à son évolution : études prospectives, choix d'outils, intégration au SI de Météo-France, - accompagnez les acteurs de Météo-France à l'utilisation de ces outils, ainsi qu''à la résolution des problèmes rencontrés, - apportez un support à la mise en place de l'intégration et déploiement continus, en particulier par l'automatisation des processus de build et de test. - gérez également une plateforme dans le Cloud OVH, destinée majoritairement aux développements. Dans le cadre du renforcement des équipes techniques dans une approche Agile et DevOps, vous contribuez également avec les autres parties prenantes à la mise en place progressive de la conteneurisation des applications et à leur intégration/déploiement continus via Kubernetes/Rancher, sur les principes de l'infrastructure as Code. Informations complémentaires : Horaires de bureau. Télétravail possible (3 jours max / semaine). Poste ouvert aux personnes en situation de handicap Accueil en détachement si vous êtes fonctionnaire. Contractuel : CDI.   Une formation de niveau BAC+5 (master ou diplôme d'ingénieur) est souhaitée ainsi qu'une expérience significative sur un poste similaire. # Connaissances IT Vous disposez d'expériences professionnelles réussies dans l''ingénierie et les outils DevOps, la conteneurisation et l'intégration/déploiement continus. Si vous êtes débutant, vous avez suivi une formation adaptée et avez réalisé des stages pertinents dans votre domaine. Vous maîtrisez tout ou partie des outils suivants : - outils de forge logicielle : Git, GitLab, GitLab CI/CD, Redmine, Nexus, Squash, SonarQube, Confluence - outils de conteneurisation : Docker, Kubernetes, Ansible, Terraform - pratique et expérience sur les environnements virtualisés et cloud - méthode Agile - environnement Linux, base de données PostgreSQL #Savoir-Faire - travailler en équipe - rigueur dans la mise en œ uvre et la traçabilité des travaux - savoir rendre compte des situations et rédiger un rapport #Savoir-Être - Motivation affirmée sur le domaine technique de compétences - Curiosité, écoute, réactivité, esprit d'analyse et de synthèse - Facultés d'adaptation, dans un contexte collaboratif, avec la capacité d'acquérir rapidement des connaissances nouvelles - Esprit d'équipe - Bonnes qualités relationnelles Pourquoi nous rejoindre ? Embarquez pour une aventure stimulante et au service de tous aux côtés d'hommes et de femmes engagés quotidiennement face aux défis posés à notre société par la météo et le climat. Et ainsi bénéficiez des avantages suivants : horaires flexibles, RTT, télétravail, restaurant administratif ou ticket restaurant, participation"
"Alternant Chef de projet en formation H/F","60 - MONCHY ST ELOI","60290","K2101","CDD","Annuel de 22971,00 Euros à 22972,00 Euros","N/A","Expérience souhaitée de 1 An(s)","N/A","Vous souhaitez préparer un DIPLOME en alternance dans le domaine de l'ingénierie de formation ou gestion de projet, Formez-vous au métier de « chef de projet certification professionnelle ». Rejoignez l'équipe du Département Pédagogique du groupe AFTRAL en tant qu'alternant et obtenez une expérience enrichissante. Le chef de projet certification professionnelle participe au déploiement de la stratégie de certification du groupe et contribue au processus de demande d'enregistrement des certifications auprès de France Compétences.  3 axes de missions principales :  - Ingénierie de certification Réaliser des enquêtes métier, les analyser et les synthétiser Rédiger les référentiels d'emploi et de compétences en lien avec les experts métier Préparer les enquêtes d'insertion des certifiés Mener des audits réglementaires et pédagogiques réguliers - VAE (validation des acquis de l'expérience) Gérer la réception et la complétude des dossiers Participer à l'animation de session de formation à l'accompagnement VAE  - Alternance  Assurer une veille réglementaire sur l'alternance Réaliser des conceptions et actualisations de ressources pédagogiques Effectuer un rôle de référent, d'appui et de soutien aux centres et écoles de l'entreprise  Ce qu'AFTRAL vous propose : Une expérience formatrice dans une entreprise en pleine croissance. Intégrer une entreprise engagée dans le développement des talents et l'innovation en formation. Une opportunité de développer vos compétences dans une entreprise dynamique. Un encadrement bienveillant et formateur.  Rémunération sur 13mois + CARTE TICKETS RESTAURANTS 10.50/JOUR + CSE + prise en charge à 50% de l'abonnement transport. Rémunération selon niveau d'études + âge ! Formation prise en charge à 100% par l'entreprise. Ce poste est fait pour vous si :  Vous préparez un DIPLOME SUPERIEUR en INGENIERIE DE FORMATION ou équivalent. Les compétences attendues : A l'aise avec les outils numériques Capacités d'analyse et de synthèse Aisance relationnelle Organisation Force de proposition Travail d'équipe"
